2024-12-31 at 23:25:03 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:25:03 | INFO | Найдено 6 записей.
2024-12-31 at 23:25:35 | INFO | Поиск Category с ID 1
2024-12-31 at 23:25:35 | INFO | Запись с ID 1 найдена
2024-12-31 at 23:25:44 | INFO | Добавление записи Product с параметрами: {'name': 'Писечка', 'description': 'Скользкая и мокрая, жду тебя сладенький', 'price': 228, 'category_id': 1, 'hidden_content': 'ОХ ЕБАТЬ РАЗДРОЧЕННОЕ ВЕДРИЩЕ ХЛЕЩЕТ ФОНТАНОМ СКВИРТ ТЕБЕ В ЛИЦО'}
2024-12-31 at 23:25:44 | INFO | Запись Product успешно добавлена
2024-12-31 at 23:26:34 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:26:34 | INFO | Найдено 6 записей.
2024-12-31 at 23:26:36 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2024-12-31 at 23:26:36 | INFO | Найдено 2 записей.
2024-12-31 at 23:40:24 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-31 at 23:40:24 | INFO | Найдено 6 записей.
2025-01-01 at 20:51:38 | INFO | Бот успешно запущен
2025-01-01 at 20:51:47 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 20:51:47 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 20:51:49 | INFO | Поиск всех записей Category по фильтрам: {}
2025-01-01 at 20:51:49 | INFO | Найдено 6 записей.
2025-01-01 at 20:51:51 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-01-01 at 20:51:51 | INFO | Найдено 2 записей.
2025-01-01 at 20:51:55 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 20:51:55 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 20:55:04 | INFO | Добавление записи Purchase с параметрами: {'user_id': 1, 'payment_id': '8105519669_650112854_443914_7455006756749787136', 'price': 228, 'product_id': 2}
2025-01-01 at 20:55:04 | INFO | Запись Purchase успешно добавлена
2025-01-01 at 20:55:04 | INFO | Поиск Product с ID 2
2025-01-01 at 20:55:04 | INFO | Запись с ID 2 найдена
2025-01-01 at 20:55:21 | INFO | Поиск всех записей Category по фильтрам: {}
2025-01-01 at 20:55:21 | INFO | Найдено 6 записей.
2025-01-01 at 20:58:39 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-01-01 at 21:11:03 | ERROR | Бот остановлен
2025-01-01 at 21:21:42 | INFO | Бот успешно запущен
2025-01-01 at 21:21:53 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:21:53 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:23:23 | INFO | Поиск всех записей Category по фильтрам: {}
2025-01-01 at 21:23:23 | INFO | Найдено 6 записей.
2025-01-01 at 21:23:24 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-01-01 at 21:23:24 | INFO | Найдено 2 записей.
2025-01-01 at 21:23:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:23:26 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:24:09 | INFO | Добавление записи Purchase с параметрами: {'user_id': 1, 'payment_id': '8105519669_650112854_443979_7455014529309153280', 'price': 228, 'product_id': 2}
2025-01-01 at 21:24:09 | INFO | Запись Purchase успешно добавлена
2025-01-01 at 21:24:09 | INFO | Поиск Product с ID 2
2025-01-01 at 21:24:09 | INFO | Запись с ID 2 найдена
2025-01-01 at 21:38:42 | ERROR | Бот остановлен
2025-01-01 at 21:38:45 | INFO | Бот успешно запущен
2025-01-01 at 21:38:51 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:38:51 | INFO | Запись найдена по фильтрам: {'telegram_id': 650112854}
2025-01-01 at 21:39:08 | INFO | Поиск всех записей Category по фильтрам: {}
2025-01-01 at 21:39:08 | INFO | Найдено 6 записей.
2025-01-01 at 21:39:09 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-01-01 at 21:39:09 | INFO | Найдено 0 записей.
2025-01-01 at 21:40:24 | INFO | Статистика успешно получена: {'total_users': 1, 'new_today': 1, 'new_week': 1, 'new_month': 1}
2025-01-01 at 21:45:09 | ERROR | Бот остановлен
